scenario,phase,type,location,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,area_closure,peripheral_area,8,-0.10146105423719154,0.10945327853008663,-0.35411123909663433,0.0,0.0,0.38640928857815304,0.22700237700163642,0.0,0.7424459764411879,0.7424459764411879,0.31678469839268003,0.2158026792357101,0.0,0.6750512611365153,0.6750512611365153,0.06244940352355287,0.0988876946920319,-0.12734127658779718,0.1859614283920823,0.1859614283920823,0.5080800702104714,0.25832950815672917,0.0,0.8242697450074508,0.8242697450074508,-0.27141751763276806,0.12280156268793566,-0.41292377525502044,0.0,0.0,,,,,,0.46536050125818174,0.27394494371910805,0.0,0.9360648901652615,0.9360648901652615
S1_service,calibration,combined_disruption,peripheral_area + central_area,2,-0.042445754926287174,0.0287345160467892,-0.07118027097307637,-0.013711238879497977,-0.013711238879497977,0.4174207276845965,0.1475375608533158,0.2698831668312807,0.5649582885379123,0.5649582885379123,0.318005013017316,0.19514737437667076,0.1228576386406452,0.5131523873939867,0.5131523873939867,-0.0360755083646504,0.06103712863789351,-0.09711263700254391,0.024961620273243112,0.024961620273243112,0.7260043301598228,0.2645268702604109,0.46147745989941186,0.9905312004202337,0.9905312004202337,-0.2044838982029369,0.032178594580163894,-0.23666249278310078,-0.172305303622773,-0.172305303622773,,,,,,0.6240917731097019,0.18846698250741767,0.4356247906022842,0.8125587556171195,0.8125587556171195
S1_service,calibration,combined_disruption,central + any_road,2,-0.035935266426733364,0.05075728801373425,-0.08669255444046761,0.014822021587000876,0.014822021587000876,0.29241284752460744,0.2007938969054068,0.09161895061920064,0.4932067444300142,0.4932067444300142,0.23505129684927775,0.2015079483486973,0.03354334850058043,0.43655924519797507,0.43655924519797507,-0.15911969359850753,0.07584692024579485,-0.23496661384430237,-0.08327277335271267,-0.08327277335271267,0.5456480427343379,0.45435195726566213,0.09129608546867571,1.0,1.0,-0.14884077572240753,0.04837391146011719,-0.19721468718252472,-0.10046686426229033,-0.10046686426229033,,,,,,0.4525870542809288,0.3350830958988484,0.11750395838208046,0.7876701501797772,0.7876701501797772
S1_service,calibration,demand_surge,peripheral_area,13,0.02321837279180255,2.1579307333043137e-05,0.023181724779832928,0.023233882904411664,0.023233882904411664,0.055372724377007305,0.0008564362803657934,0.054757048321760586,0.056826974780778784,0.056826974780778784,0.007159625936066335,4.757728721742402e-05,0.007125441287362902,0.007240449522443835,0.007240449522443835,-0.006306664601919585,0.000276485207006322,-0.006778418376940111,-0.006109053361886246,-0.006109053361886246,,,,,,-0.047357927618385906,6.938893903907228e-18,-0.04735792761838591,-0.04735792761838591,-0.04735792761838591,,,,,,0.09216465687883456,0.0018986473137223442,0.09080167499020182,0.09539249573079334,0.09539249573079334
S1_service,calibration,area_closure,central_area,6,-0.12114426446366662,0.08925742378520365,-0.2452785481170968,0.01920411614091072,0.01920411614091072,0.3849042845416552,0.1395967522368532,0.11896813959101543,0.5546993137731976,0.5546993137731976,0.3853623946893054,0.1960632866973642,0.028121220558574245,0.6032996015985495,0.6032996015985495,-0.24950689618386626,0.2871153322860418,-0.7884807681856009,0.11085183469511195,0.11085183469511195,0.8333772927367807,0.3725797000356062,0.00026375642068443154,1.0,1.0,-0.18276856610365763,0.06320611932151096,-0.32235666170118116,-0.143648752414811,-0.143648752414811,,,,,,0.5810497256977233,0.22724114529692432,0.096926965939599,0.7781199100811853,0.7781199100811853
S1_service,calibration,combined_disruption,any_road + central_area,2,-0.18203914365825458,0.21865445386761675,-0.4006935975258713,0.03661531020936218,0.03661531020936218,0.7000107180908057,0.6846269648188111,0.015383753271994621,1.3846376829096168,1.3846376829096168,0.6665150822700209,0.6662186493480435,0.0002964329219773513,1.3327337316180643,1.3327337316180643,-0.16242871093639671,0.12940821990586085,-0.29183693084225754,-0.033020491030535865,-0.033020491030535865,1.0,0.0,1.0,1.0,1.0,-0.16456338259929487,0.11482983325188982,-0.2793932158511847,-0.049733549347405065,-0.049733549347405065,,,,,,0.6138813537235034,0.575038720088945,0.038842633634558414,1.1889200738124484,1.1889200738124484
S1_service,calibration,combined_disruption,central + central_area,1,-0.19880829699134145,0.0,-0.19880829699134145,-0.19880829699134145,-0.19880829699134145,0.3636784616229474,0.0,0.3636784616229474,0.3636784616229474,0.3636784616229474,0.3751092975271082,0.0,0.3751092975271082,0.3751092975271082,0.3751092975271082,-0.03034448579736159,0.0,-0.03034448579736159,-0.03034448579736159,-0.03034448579736159,1.0,0.0,1.0,1.0,1.0,-0.10434199350011893,0.0,-0.10434199350011893,-0.10434199350011893,-0.10434199350011893,,,,,,0.572114177213288,0.0,0.572114177213288,0.572114177213288,0.572114177213288
S1_service,calibration,combined_disruption,central_area + central_area,1,-0.11621043430176083,0.0,-0.11621043430176083,-0.11621043430176083,-0.11621043430176083,0.35307666990884584,0.0,0.35307666990884584,0.35307666990884584,0.35307666990884584,0.38651165510471464,0.0,0.38651165510471464,0.38651165510471464,0.38651165510471464,-0.11524186775672526,0.0,-0.11524186775672526,-0.11524186775672526,-0.11524186775672526,1.0,0.0,1.0,1.0,1.0,-0.15979064940713278,0.0,-0.15979064940713278,-0.15979064940713278,-0.15979064940713278,,,,,,0.6162828199332265,0.0,0.6162828199332265,0.6162828199332265,0.6162828199332265
S1_service,calibration,combined_disruption,peripheral + peripheral_area,2,-0.00832667622299553,0.03149261486912186,-0.03981929109211739,0.02316593864612633,0.02316593864612633,0.21389976937583768,0.15802067158957303,0.05587909778626464,0.3719204409654107,0.3719204409654107,0.13915808378932196,0.1322672090326467,0.006890874756675261,0.27142529282196864,0.27142529282196864,-0.009280975796618416,0.002891496897096262,-0.012172472693714678,-0.006389478899522153,-0.006389478899522153,0.3472525422499183,0.3472525422499183,0.0,0.6945050844998366,0.6945050844998366,-0.11491308617986835,0.05177184998481095,-0.1666849361646793,-0.0631412361950574,-0.0631412361950574,,,,,,0.35135462672253587,0.25920622075695576,0.09214840596558008,0.6105608474794917,0.6105608474794917
S1_service,calibration,demand_surge,central_area,6,0.03708294610012835,0.0010456656404718278,0.03661531020936218,0.03942112555395921,0.03942112555395921,0.016023311862850522,0.0014300964847477698,0.015383753271994621,0.019221104817130026,0.019221104817130026,0.00018997870720990114,0.00023803886071138055,-0.0003422923666273498,0.0002964329219773513,0.0002964329219773513,-0.03352774375862491,0.0011342515817793315,-0.03606400739907016,-0.033020491030535865,-0.033020491030535865,,,,,,-0.049733549347405065,0.0,-0.049733549347405065,-0.049733549347405065,-0.049733549347405065,,,,,,0.03980483507607416,0.002151547831277493,0.038842633634558414,0.04461584228365288,0.04461584228365288
